Sample,Chromatogram.File,Target.Gene
LIB40060K,Example.Data//DHFR_Data/LIB40060K/LIB40060KdhfrForward_PREMIX_Plate_DNA_00017079_E09.ab1,DHFR
LIB40064T,Example.Data//DHFR_Data/LIB40064T/LIB40064TdhfrForward_PREMIX_Plate_DNA_00017079_G09.ab1,DHFR
LIB40070C,Example.Data//DHFR_Data/LIB40070C/LIB40070CdhfrForward_PREMIX_Plate_DNA_00017079_H09.ab1,DHFR
LIB40071T,Example.Data//DHFR_Data/LIB40071T/LIB40071TdhfrForward_PREMIX_Plate_DNA_00017079_A10.ab1,DHFR
LIB40107U,Example.Data//DHFR_Data/LIB40107U/LIB40107UdhfrForward_PREMIX_Plate_DNA_00017079_B10.ab1,DHFR
LIB40112A,Example.Data//DHFR_Data/LIB40112A/LIB40112AdhfrForward_PREMIX_Plate_DNA_00017079_C10.ab1,DHFR
LIB40115N,Example.Data//DHFR_Data/LIB40115N/LIB40115NdhfrForward_PREMIX_Plate_DNA_00017079_D10.ab1,DHFR
LIB40060K,Example.Data//DHPS_Data/LIB40060K/LIB40060KdhpsForward_PREMIX_Plate_DNA_00017079_A03.ab1,DHPS
LIB40064T,Example.Data//DHPS_Data/LIB40064T/LIB40064TdhpsForward_PREMIX_Plate_DNA_00017079_C03.ab1,DHPS
LIB40070C,Example.Data//DHPS_Data/LIB40070C/LIB40070CdhpsForward_PREMIX_Plate_DNA_00017079_D03.ab1,DHPS
LIB40071T,Example.Data//DHPS_Data/LIB40071T/LIB40071TdhpsForward_PREMIX_Plate_DNA_00017079_E03.ab1,DHPS
LIB40107U,Example.Data//DHPS_Data/LIB40107U/LIB40107UdhpsForward_PREMIX_Plate_DNA_00017079_F03.ab1,DHPS
LIB40112A,Example.Data//DHPS_Data/LIB40112A/LIB40112AdhpsForward_PREMIX_Plate_DNA_00017079_G03.ab1,DHPS
LIB40115N,Example.Data//DHPS_Data/LIB40115N/LIB40115NdhpsForward_PREMIX_Plate_DNA_00017079_H03.ab1,DHPS
